#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
 616000      6.54e-01      3.75e-02      2.52e-02      6.68e-02    1.2e-04
 618000      2.67e-01      1.59e-04      1.58e-02      2.47e-02    1.2e-04
 620000      6.00e-01      3.31e-03      5.06e-02      3.89e-02    1.2e-04
 622000      5.25e-01      2.40e-02      4.39e-02      2.01e-02    1.2e-04
 624000      5.73e-01      1.26e-03      5.16e-02      1.30e-02    1.2e-04
 626000      5.36e-01      3.00e-03      4.23e-02      3.90e-02    1.2e-04
 628000      3.76e-01      7.01e-03      3.39e-02      8.01e-03    1.2e-04
 630000      3.73e-01      1.46e-02      3.32e-02      8.88e-03    1.2e-04
 632000      7.03e-01      9.86e-03      2.09e-02      8.22e-02    1.2e-04
 634000      5.11e-01      3.40e-03      4.17e-02      3.53e-02    1.1e-04
 636000      6.55e-01      1.19e-02      5.90e-02      2.02e-02    1.1e-04
 638000      4.17e-01      7.58e-03      3.78e-02      1.79e-02    1.1e-04
 640000      5.20e-01      2.22e-02      3.86e-02      3.62e-02    1.1e-04
 642000      6.20e-01      7.15e-03      5.80e-02      9.35e-03    1.1e-04
 644000      5.84e-01      8.41e-03      5.09e-02      4.00e-02    1.1e-04
 646000      1.76e+00      2.81e-02      7.53e-02      1.96e-01    1.1e-04
 648000      5.99e-01      8.63e-03      4.80e-02      5.72e-02    1.1e-04
 650000      5.18e-01      1.63e-02      4.56e-02      3.45e-02    1.1e-04
 652000      2.97e-01      4.86e-02      1.18e-02      9.30e-03    1.1e-04
 654000      5.38e-01      7.59e-03      4.62e-02      3.04e-02    1.1e-04
 656000      2.05e+00      5.12e-02      1.67e-01      1.35e-01    1.1e-04
 658000      6.04e-01      1.18e-02      5.66e-02      1.81e-02    1.1e-04
 660000      4.63e-01      1.89e-02      3.21e-02      5.70e-02    1.0e-04
 662000      2.79e-01      7.11e-03      1.80e-02      2.61e-02    1.0e-04
 664000      5.91e-01      8.53e-03      5.73e-02      8.12e-03    1.0e-04
 666000      7.15e-01      1.35e-02      6.60e-02      3.00e-02    1.0e-04
 668000      3.63e-01      2.97e-02      3.14e-02      9.58e-03    1.0e-04
 670000      5.91e-01      2.51e-02      4.67e-02      4.96e-02    1.0e-04
 672000      5.42e-01      3.25e-02      4.58e-02      2.90e-02    1.0e-04
 674000      6.85e-01      9.07e-03      3.19e-02      1.10e-01    1.0e-04
 676000      3.86e-01      6.66e-03      3.65e-02      1.56e-02    9.9e-05
 678000      2.91e-01      7.38e-03      2.81e-02      8.82e-03    9.8e-05
 680000      6.75e-01      2.36e-02      6.61e-02      1.22e-02    9.8e-05
 682000      5.65e-01      7.63e-03      5.26e-02      2.73e-02    9.7e-05
 684000      5.15e-01      5.46e-02      3.18e-03      5.46e-02    9.6e-05
 686000      5.63e-01      6.51e-03      5.39e-02      2.43e-02    9.6e-05
 688000      6.76e-01      7.65e-03      6.12e-02      4.01e-02    9.5e-05
 690000      1.59e+00      4.97e-02      1.51e-01      6.76e-02    9.4e-05
 692000      5.33e-01      2.37e-02      4.79e-02      2.91e-02    9.4e-05
 694000      5.83e-01      5.03e-03      5.71e-02      2.34e-02    9.3e-05
 696000      1.00e+00      7.04e-03      9.01e-02      7.42e-02    9.3e-05
 698000      5.46e-01      1.31e-02      5.58e-02      8.63e-03    9.2e-05
 700000      5.47e-01      2.29e-03      5.49e-02      1.94e-02    9.1e-05
 702000      6.90e-01      1.16e-03      6.33e-02      6.14e-02    9.1e-05
 704000      4.88e-01      1.77e-03      5.02e-02      1.23e-02    9.0e-05
 706000      4.79e-01      1.61e-02      4.75e-02      2.78e-02    8.9e-05
